Date,Active Nodes
2022-02-04T22:30:02.696723Z,4054
2022-02-05T22:30:00.09495Z,3833
2022-02-06T22:30:03.224126Z,3708
2022-02-07T22:30:00.107154Z,3685
2022-02-08T22:30:00.093638Z,3709
2022-02-09T22:30:00.095115Z,3726
2022-02-10T22:30:02.552945Z,3776
2022-02-11T22:30:02.865586Z,3794
2022-02-12T22:30:00.100366Z,4098
2022-02-13T22:30:02.808235Z,3512
2022-02-14T22:30:02.428531Z,3427
2022-02-15T22:30:00.091979Z,3546
2022-02-16T22:30:02.612065Z,3602
2022-02-17T22:30:00.095608Z,3680
2022-02-18T22:30:02.464144Z,3696
2022-02-19T22:30:00.094612Z,3647
2022-02-20T22:30:02.432399Z,3685
2022-02-21T22:30:02.577852Z,3721
2022-02-22T22:30:02.349681Z,3714
2022-02-23T22:30:00.094442Z,3793
2022-02-24T22:30:02.458964Z,3743
2022-02-25T22:30:00.112219Z,3734
2022-02-26T22:30:00.100187Z,3704
2022-02-27T22:30:02.436067Z,3753
2022-02-28T22:30:00.092659Z,3776
2022-03-01T22:30:00.091767Z,3760
2022-03-02T22:30:02.705493Z,3801
2022-03-03T22:30:00.091612Z,3750
2022-03-04T22:30:03.097384Z,3791
2022-03-05T22:30:02.76432Z,3833
2022-03-06T22:30:00.105278Z,3857
2022-03-07T22:30:02.374881Z,3914
2022-03-08T22:30:02.649758Z,3920
2022-03-09T22:30:00.095414Z,3988
2022-03-10T22:30:03.516471Z,4042
2022-03-11T22:30:02.34833Z,4028
2022-03-12T22:30:00.130036Z,4098
2022-03-13T22:30:02.35504Z,4006
2022-03-14T22:30:00.105097Z,4028
2022-03-15T22:30:00.095398Z,3992
2022-03-16T22:30:02.391005Z,3974
2022-03-17T22:30:02.701305Z,4011
2022-03-18T22:30:02.414292Z,3986
2022-03-19T22:30:02.672916Z,3956
2022-03-20T22:30:00.097882Z,3927
2022-03-21T22:30:03.052677Z,3968
2022-03-22T22:30:00.104506Z,3973
2022-03-23T22:30:00.092316Z,3987
2022-03-24T22:30:00.10053Z,4004
2022-03-25T22:30:00.097644Z,3974
2022-03-26T22:30:00.098241Z,4041
2022-03-27T22:30:00.09355Z,3991
2022-03-29T22:30:00.095832Z,4731
2022-03-30T22:30:02.813984Z,4030
2022-03-31T22:30:03.131513Z,3882
2022-04-01T22:30:00.095476Z,3894
2022-04-02T22:30:02.652663Z,3887
2022-04-03T22:30:02.352836Z,3888
2022-04-04T22:30:03.767949Z,4317
2022-04-05T22:30:02.396174Z,4305
2022-04-06T22:30:00.092049Z,4043
2022-04-07T22:30:03.125981Z,3937
2022-04-08T22:30:02.743791Z,3875
2022-04-09T22:30:00.092523Z,3904
2022-04-10T22:30:00.093745Z,3928
2022-04-11T22:30:00.096304Z,3899
2022-04-12T22:30:00.09629Z,3452
2022-04-13T22:30:00.1058Z,4463
2022-04-14T22:30:00.097386Z,4059
2022-04-15T22:30:00.103942Z,4041
2022-04-16T22:30:00.092545Z,4053
2022-04-17T22:30:01.988348Z,4089
2022-04-18T22:30:00.111352Z,4091
2022-04-19T22:30:02.250186Z,4146
2022-04-20T22:30:02.397328Z,4179
2022-04-21T22:30:00.095083Z,4160
2022-04-22T22:30:02.332567Z,4158
2022-04-23T22:30:00.092809Z,4131
2022-04-24T22:30:00.101838Z,4146
2022-04-25T22:30:00.08009Z,4156
2022-04-26T22:30:01.324323Z,4223
2022-04-27T22:30:00.096987Z,4259
2022-04-28T22:30:00.093567Z,4152
2022-04-29T22:30:00.095661Z,4167
2022-04-30T22:30:01.28411Z,4209
2022-05-01T22:30:00.116115Z,4190
2022-05-02T22:30:00.093219Z,4234
2022-05-03T22:30:00.097926Z,4253
2022-05-04T22:30:01.526875Z,4286
2022-05-05T22:30:00.095606Z,4361
2022-05-06T22:30:00.095081Z,4382
2022-05-07T22:30:00.103116Z,4357
2022-05-08T22:30:20.631515Z,4363
2022-05-09T22:30:00.092602Z,4343
2022-05-10T22:30:20.750322Z,4390
2022-05-11T22:30:00.09228Z,4737
2022-05-12T22:30:20.754679Z,4178
2022-05-17T22:30:00.312125Z,4744
2022-05-18T22:30:00.233536Z,4500
2022-05-19T22:30:00.092528Z,4291
2022-05-20T22:30:00.247779Z,4374
2022-05-21T22:30:00.149876Z,4401
